Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
-155.6513624,-64.69228834,-68.37166626,-831.2800593,-170.360114,-49.81651034
-88.53777391,-157.6441847,-19.92692495,-1296.485222,-198.9614783,-50.02691002
-101.4877693,-40.18223549,-68.15804231,-1630.845183,-110.9178082,-64.1992448
-176.7777265,-27.66607241,-32.93004185,-302.1197526,-204.6907472,12.90796147208242
-184.1820007,-101.9597862,-53.1744115,-187.1700395,-149.2195721,-43.71972188
-183.5785415,-103.2341053,-73.95184468,-488.087716,-125.8547915,-53.1535919
-189.2092724,-46.77424182,-79.31839914,-301.9385808,-179.8417691,-105.2541962
-149.0423978,-101.6617969,-78.67553019,-574.8075313,-120.221607,-77.42232122
-112.9847974,-101.7457877,-118.6198284,820.6450296372933,-173.9550891,-135.6544515
-116.3166058,-99.38448462,-95.24516871,-190.1186729,-96.52134798,-104.437442
-96.49228661,-121.2135411,-116.8814887,59.23544362206072,-119.4508911,-113.3639966
-87.14124778,-101.0459658,-97.71242618,-604.4388104,-118.7425265,-111.3935514
-114.6222584,-760049.0762,-100.2213504,31132.90283149622,-6.296569767,-104.9390812
-85.70791193,-776165.1461,-98.76649096,35113.335147666505,-89.01472915,-74.33625209
6.559884998769047,-808733.2134,-100.6644905,34635.03218882502,-151.6819838,-81.74732038
-117.2825746,-795651.0085,-101.4781783,848.8178824861232,-202.3704217,-89.12022269
-13.26922801,-820553.0425,-100.1104836,28637.204279533227,-83.14951232,-63.65562501
-121.5413117,-814841.6844,-81.14618202,1074.200624818529,-143.1938745,-84.76390781
-132.0609919,-821448.8982,-80.88703911,-10.53627726,-90.36491478,-86.84689528
-24.18265956,-70368.25869,8.325342688926098,129178.01403332398,-131.6872989,-63.07187705
-118.4002415,-87.53372433,-99.04919346,-309.493609,-146.2992307,-91.86818036
-131.5144289,-13467.26867,-99.00976286,9.647616068,-123.2267889,-20.89836878
9.796880363747864,-11532.93388,-101.6958752,52.459462376070434,-72.4892919,-107.7834322
-197.5716987,-8557.215526,-101.2348067,-313.1714956,-75.42292223,-108.0060673
-96.19781143,-11025.93515,-97.92485223,-327.5477929,-126.3965426,-87.85389263
-95.51516438,-28926.67373,-99.0868272,-274.7078536,-122.7208147,-107.0670844
-39.60022509,-31995.13843,-101.3445336,-373.3580964,-116.8504877,-106.1589277
-96.35687279,-30052.6601,-98.60607337,-360.404019,-99.13327062,-107.8108333
-94.09956342,-23075.81963,-99.33776551,-375.1336286,-97.56948208,-108.6044921
-41.35480624,-120.6637815,-104.4817122,-1024.902638,-83.39994377,-108.4102364
-111.9340551,-70.82412829,-112.1807621,90160.89423091333,9316.953912,-114.4644521
-121.7220117,-665195.4052,-104.3235906,155530.0449148033,7769.284855246005,-91.74829941
-47.42390011,-731044.2836,-124.7005271,149053.00519046123,235.28229450744914,-106.2479819
-85.67221801,-745175.0857,-99.68182,157196.86145504494,1781.2034109407978,-107.6562121
-157.1226213,-766422.2149,-125.3753386,156182.2792650985,-279.6874221,-85.73714269
-167.7426947,-786905.7853,-127.0883244,156064.5141574811,-192.5126042,-86.43685428
-165.6244796,-756872.692,-100.6808417,114557.12834305219,1749.0049606933078,-106.5405881
-110.6352411,-495350.7051,-97.69865036,78962.41602,5044.279324047093,-109.1035867
-165.9490698,-89.72461225,-97.75774635,82.29007667367961,-109.2430828,-89.06150587
-193.3620374,-121718.7316,-103.5275913,-2.663278168,-73.82220189,-106.0918922
-47.04241859,-133538.5329,-99.51301708,-183.9713772,-120.2931585,-82.16274382
-96.22670137,-170779.5556,-100.137522,-582.371611,-76.78854279,-106.1251652
-142.6766021,-171624.5593,-88.15404921,-983.7485732,-72.8102535,-104.8940649
-44.76246569,-155875.0094,-89.60389677,1.1142359077654969,-65.18588051,-49.78225569
