Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
-61.2196341,1820731.8198860597,-251.600508,30.523816410779485,-225.9331627,-176.9315228
-132.611817,3935280.615608661,-66.68867183,25.258249411979634,-136.9809488,-14.08214824
-24.24071893,4146491.8833771097,-162.839244,-293.4363378,-57.00543579,-71.00573629
-55.60700298,4170086.8966053976,-156.8905294,-285.5928387,-51.73368642,-71.76858267
-5.528190172,4176556.2603065423,-128.5758299,-509.461589,-56.61628573,-67.76974384
3.7394144902311495,4135836.1513401642,-141.909457,-548.9898736,-55.53045459,-65.71463542
-47.52864042,-314.4384846,-174.0618476,0.6307739540595607,-256.374338,-148.3339439
-59.99943562,69.89762389378026,-113.4545076,-236.9777859,-70.4056208,-139.2377648
-153.0371305,-23.97914368,144.59407175829693,58.62510561530908,-131.9715487,-83.93140562
-137.7121649,-150.344407,-90.17354666,129.7833496989488,-160.6229301,-134.2395931
-144.5449945,-177.7105399,-34.11378296,15.686998089409542,-75.30425266,-58.53777817
-73.73546697,-140.4155733,-181.7357597,-228.887468,-134.5979508,-167.2082838
-122.6489721,-49.16466884,-244.0263459,-265.6367138,-69.34748253,-127.4136459
-70.87285588,73.46348592868293,-148.2102528,463.7626808146778,-137.9953649,-137.3382746
-62.46657331,2115247.913324104,-94.7893377,283.9016337705109,-151.0209728,-126.9544119
-201.0428728,3723384.310783347,-92.22779709,365.52701087742537,-144.3558613,-129.5389343
-215.875249,3898746.8749780827,-49.1139275,367.29135108939175,-134.6897706,-128.2787133
-204.890644,3847751.7639477546,-36.01648901,208.68453436652382,-129.8363237,-124.9862679
-41.32349763,3692749.2542362083,-143.0243829,-261.2213266,-69.78473023,-69.73330934
-176.1519451,3733012.4872349915,-74.58703779,132.48927354428486,-143.877804,-131.7267769
-188.522818,3708961.1518281605,-66.58744782,269.9149952171806,-151.085103,-129.7922001
-134.7890348,1085982.850445268,-18.78942433,311.4178712520838,-63.3047179,-143.8590866
-72.20001728,145.92229123459992,-181.7401654,41.475462994679276,-127.6486256,-84.30672583
-120.008726,-263.1769151,-202.8474567,-277.5207996,-73.63688091,-140.8458434
-74.76989286,140.3889299988702,-76.24182237,-215.0288009,-64.71557216,-83.75900125
-58.41472636,83.96315261,-5.172669191,64.91452582,-114.91889,-48.10051319
-32.7736645,-15.18438777,12.250972031471466,61.340163757646806,-18.10497,-67.45850062
-37.56579557,-3.577278188,25.298535509228852,45.43377000347611,-115.0092551,-50.15562161
-126.8401509,-264.5583626,-144.8948162,-267.1268018,-82.36288646,-133.9680201
-78.80626006,2013904.655323016,-155.0582405,-259.7221042,-66.13662719,-140.8488958
-134.9888825,3752915.9426451116,8.294456824864135,47.1158305,-149.8928726,-119.9972532
13.15478847480534,3831387.5743666044,-145.3818601,-592.3028019,-61.26131599,-74.54992131
14.497431177545813,3805395.208333809,-149.9339845,-544.8213052,-65.57694767,-76.90101298
-209.8052255,3795614.739892965,-37.88545644,285.7390889553663,-135.0031334,-132.5643834
-52.41928437,3797631.639619003,-125.8281252,-359.0456182,-54.27701312,-62.00414901
-172.9543764,3738454.572245363,-84.55681717,113.53871292680637,-141.474398,-125.0900151
-168.3184647,26426.23814771353,-8.36927953,31.80364306212083,-166.6234256,-125.6392641
-123.1528132,-57.55223313,2.898801639617271,18.89569394015513,-69.66084209,19.675331930321143
-148.3308467,-148.1904299,-193.0170497,-676.4695435,-38.67164441,-64.97009627
-130.227714,-29.54675337,-21.35815263,-669.4762039,-47.23003641,-60.75460948
-69.94679917,143.77591925171552,9.239211560221976,6.792212504345134,-63.59038783,-82.87715111
-56.56965046,87.10278906506608,-17.13464382,24.380656603716137,48.57676048607414,-69.37782252
-37.22239424,110.78509586146284,-78.02863589,-361.0293439,-19.53185357,-67.71939557
-36.11056493,3.565853584752346,-103.1087346,-294.8258673,-30.13219439,-60.24502553
-61.57147921,-12.77543582,-13.1033059,40.86296778384194,-32.69738218,-51.36091754
-133.1874349,-62.81006453,-30.73673247,44.34592597667202,-59.36074417,19.438842099607452
-55.39730216,-43.85965179,-45.97746524,-194.8624248,-55.73887767,-79.04918879
-51.16812328,-42.07862628,-63.55954688,-190.0128032,-61.70730812,-84.22738886
-142.312889,-156.7644679,-143.5847796,-14.86698687,-150.6128743,-114.2759054
-133.6997212,-121.1428233,-259.5076751,-586.3607591,-38.79261667,-139.1233378
-163.9710666,2905711.176422323,-109.6115366,172.80373694239557,-158.4264908,-137.3428514
-145.8172682,3616028.149706919,-100.4149283,141.0549504083792,-163.6311974,-140.7588773
-74.80648519,3483668.9667384336,-102.1160109,-231.4745445,-67.05047255,-133.878005
-67.00678153,3423616.3588741664,-217.0275483,-295.8314316,-65.25775957,-77.10850733
9.781300403,3084650.940996065,-146.6816277,-669.6041652,-58.54455041,-62.49542235
-225.8451376,83041.14639302375,-125.7313028,127.1048693414933,-44.23489226,-235.1305901
-59.35063311,-43.11755536,-244.8405355,-265.3807505,-70.91428679,-144.3091653
-128.5712295,-2.618262178,-23.17137356,26.830606999408808,-74.90489859,-55.68625786
-123.4356971,-52.58971757,-47.80242506,30.807202900646757,-68.74408084,-7.846639624
-140.546629,-159.5730105,-154.4054229,-16.95401643,-225.9375252,-135.693578
